Node Number	LOC_DEFX ()
944	1.5304e-002
945	1.4254e-002
946	1.4081e-002
947	1.3947e-002
948	1.2156e-002
949	1.2054e-002
950	1.2008e-002
951	1.1942e-002
952	1.1912e-002
953	1.1445e-002
954	1.1366e-002
955	1.095e-002
956	1.0846e-002
957	1.0884e-002
958	1.0892e-002
959	1.0642e-002
960	1.0674e-002
961	1.0522e-002
962	1.0476e-002
963	1.0544e-002
964	1.0524e-002
965	1.0347e-002
966	1.0443e-002
967	1.0523e-002
968	1.0638e-002
969	1.0742e-002
970	1.0862e-002
971	1.0967e-002
972	1.1097e-002
973	1.1223e-002
974	1.1358e-002
975	1.1501e-002
976	1.1647e-002
977	1.1795e-002
978	1.1943e-002
979	1.2092e-002
980	1.2241e-002
981	1.239e-002
982	1.2539e-002
983	1.2689e-002
984	1.2838e-002
985	1.2988e-002
986	1.3137e-002
987	1.3287e-002
988	1.3436e-002
989	1.3586e-002
990	1.3735e-002
991	1.3886e-002
992	1.4034e-002
993	1.4185e-002
994	1.4333e-002
995	1.4484e-002
996	1.4632e-002
997	1.4785e-002
998	1.4932e-002
999	1.5086e-002
1000	1.5232e-002
1001	6.0201e-004
1002	1.0259e-003
1003	1.947e-003
1004	2.4731e-003
1005	1.3465e-003
1006	3.0766e-003
1007	3.3962e-003
1008	4.9415e-003
1009	5.8566e-003
1010	6.1981e-003
1011	7.2167e-003
1012	7.5622e-003
1013	5.4619e-003
1014	1.0687e-002
1015	7.3355e-003
1016	1.2065e-002
1017	1.0146e-002
1018	1.2393e-002
1019	1.4607e-002
1020	1.3028e-002
1021	1.3937e-002
1022	3.5342e-002
1023	3.8744e-002
1024	4.2915e-002
1025	3.1182e-002
1026	4.1421e-002
1027	4.2922e-002
1028	3.2333e-002
1029	2.5501e-002
1030	3.7024e-002
1031	3.0206e-002
1032	3.8274e-002
1033	3.1777e-002
1034	3.417e-002
1035	2.8964e-002
1036	2.9505e-002
1037	2.9479e-002
1038	2.1725e-002
1039	2.0184e-002
1040	2.1006e-002
1041	1.8359e-002
1042	1.825e-002
1043	1.8314e-002
1044	1.7355e-002
1045	1.7431e-002
1046	1.6572e-002
1047	1.5414e-002
1048	1.5196e-002
1049	1.4208e-002
1050	1.2286e-002
1051	1.2226e-002
1052	1.212e-002
1053	1.2003e-002
1054	1.1489e-002
1055	1.1036e-002
1056	1.097e-002
1057	1.097e-002
1058	1.1025e-002
1059	1.0982e-002
1060	1.0721e-002
1061	1.0695e-002
1062	1.0698e-002
1063	1.0766e-002
1064	1.0829e-002
1065	1.0847e-002
1066	1.0844e-002
1067	1.086e-002
1068	1.0676e-002
1069	1.0798e-002
1070	1.0905e-002
1071	1.1023e-002
1072	1.1127e-002
1073	1.1249e-002
1074	1.1377e-002
1075	1.1515e-002
1076	1.1656e-002
1077	1.1801e-002
1078	1.1947e-002
1079	1.2095e-002
1080	1.2243e-002
1081	1.2392e-002
1082	1.2541e-002
1083	1.269e-002
1084	1.2839e-002
1085	1.2989e-002
1086	1.3138e-002
1087	1.3288e-002
1088	1.3437e-002
1089	1.3587e-002
1090	1.3736e-002
1091	1.3886e-002
1092	1.4035e-002
1093	1.4185e-002
1094	1.4333e-002
1095	1.4484e-002
1096	1.4632e-002
1097	1.4784e-002
1098	1.4932e-002
1099	1.5085e-002
1100	1.5231e-002
1101	2.6182e-004
1102	9.282e-004
1103	1.33e-003
1104	2.1947e-003
1105	2.667e-003
1106	3.6457e-003
1107	4.2072e-003
1108	4.8964e-003
1109	5.7839e-003
1110	5.8438e-003
1111	6.8892e-003
1112	7.8828e-003
1113	8.1286e-003
1114	8.4375e-003
1115	9.8482e-003
1116	1.0063e-002
1117	1.0746e-002
1118	1.1128e-002
1119	1.1569e-002
1120	1.2383e-002
1121	1.2642e-002
1122	1.3426e-002
1123	1.3343e-002
1124	1.3998e-002
1125	1.4791e-002
1126	1.5402e-002
1127	1.5344e-002
1128	1.5649e-002
1129	1.6032e-002
1130	1.655e-002
1131	1.7424e-002
1132	1.7726e-002
1133	1.8312e-002
1134	1.7978e-002
1135	1.9165e-002
1136	1.897e-002
1137	1.9396e-002
1138	1.8938e-002
1139	1.9008e-002
1140	1.8789e-002
1141	1.7935e-002
1142	1.7918e-002
1143	1.705e-002
1144	1.6832e-002
1145	1.5838e-002
1146	1.5316e-002
1147	1.3824e-002
1148	1.3676e-002
1149	1.2244e-002
1150	1.2171e-002
1151	1.1852e-002
1152	1.182e-002
1153	1.1339e-002
1154	1.0851e-002
1155	1.0818e-002
1156	1.078e-002
1157	1.0751e-002
1158	1.0587e-002
1159	1.0629e-002
1160	1.0448e-002
1161	1.0465e-002
1162	1.0466e-002
1163	1.0517e-002
1164	1.0475e-002
1165	1.06e-002
1166	1.0672e-002
1167	1.0795e-002
1168	1.0882e-002
1169	1.101e-002
1170	1.1108e-002
1171	1.1231e-002
1172	1.1324e-002
1173	1.13e-002
1174	1.1377e-002
1175	1.1501e-002
1176	1.1651e-002
1177	1.179e-002
1178	1.194e-002
1179	1.2086e-002
1180	1.2236e-002
1181	1.2384e-002
1182	1.2534e-002
1183	1.2683e-002
1184	1.2833e-002
1185	1.2982e-002
1186	1.3132e-002
1187	1.3282e-002
1188	1.3431e-002
1189	1.3581e-002
1190	1.373e-002
1191	1.3881e-002
1192	1.403e-002
1193	1.4181e-002
1194	1.433e-002
1195	1.448e-002
1196	1.4629e-002
1197	1.478e-002
1198	1.4929e-002
1199	1.5079e-002
1200	1.5228e-002
1201	3.2238e-004
1202	1.3003e-003
1203	1.8981e-003
1204	2.311e-003
1205	3.627e-003
1206	3.7173e-003
1207	4.1457e-003
1208	5.1487e-003
1209	6.0921e-003
1210	6.9615e-003
1211	6.857e-003
1212	7.6272e-003
1213	8.0644e-003
1214	8.726e-003
1215	9.4495e-003
1216	1.014e-002
1217	1.0568e-002
1218	1.1064e-002
1219	1.1612e-002
1220	1.2657e-002
1221	1.2549e-002
1222	1.3292e-002
1223	1.403e-002
1224	1.4218e-002
1225	1.4686e-002
1226	1.5282e-002
1227	1.5601e-002
1228	1.6036e-002
1229	1.6585e-002
1230	1.7518e-002
1231	1.7728e-002
1232	1.8372e-002
1233	1.817e-002
1234	1.9078e-002
1235	1.8881e-002
1236	1.9429e-002
1237	1.8904e-002
1238	1.8764e-002
1239	1.8036e-002
1240	1.8025e-002
1241	1.7774e-002
1242	1.687e-002
1243	1.6583e-002
1244	1.5664e-002
1245	1.5312e-002
1246	1.3728e-002
1247	1.3586e-002
1248	1.2174e-002
1249	1.2069e-002
1250	1.1997e-002
1251	1.1678e-002
1252	1.1364e-002
1253	1.1232e-002
1254	1.0749e-002
1255	1.0664e-002
1256	1.0538e-002
1257	1.0577e-002
1258	1.0259e-002
1259	1.0276e-002
1260	1.0238e-002
1261	1.0296e-002
1262	1.0325e-002
1263	1.031e-002
1264	1.0379e-002
1265	1.0438e-002
1266	1.0562e-002
1267	1.0615e-002
1268	1.0728e-002
1269	1.079e-002
1270	1.0897e-002
1271	1.0988e-002
1272	1.1092e-002
1273	1.1217e-002
1274	1.135e-002
1275	1.1495e-002
1276	1.1641e-002
1277	1.1789e-002
1278	1.1938e-002
1279	1.2087e-002
1280	1.2236e-002
1281	1.2385e-002
1282	1.2534e-002
1283	1.2684e-002
1284	1.2833e-002
1285	1.2983e-002
1286	1.3133e-002
1287	1.3283e-002
1288	1.3432e-002
1289	1.3582e-002
1290	1.3731e-002
1291	1.3882e-002
1292	1.4031e-002
1293	1.4182e-002
1294	1.4331e-002
1295	1.4482e-002
1296	1.4631e-002
1297	1.4782e-002
1298	1.4931e-002
1299	1.508e-002
1300	1.523e-002
1301	2.5247e-004
1302	1.2338e-003
1303	1.7826e-003
1304	2.2547e-003
1305	3.6223e-003
1306	3.6743e-003
1307	4.3805e-003
1308	5.1795e-003
1309	5.9238e-003
1310	6.9527e-003
1311	7.0351e-003
1312	7.8481e-003
1313	8.4294e-003
1314	9.5936e-003
1315	1.0398e-002
1316	1.0318e-002
1317	1.1092e-002
1318	1.1676e-002
1319	1.2366e-002
1320	1.2664e-002
1321	1.3387e-002
1322	1.3916e-002
1323	1.4361e-002
1324	1.5075e-002
1325	1.5238e-002
1326	1.4744e-002
1327	1.5967e-002
1328	1.6603e-002
1329	1.7456e-002
1330	1.7925e-002
1331	1.8201e-002
1332	1.8378e-002
1333	1.9568e-002
1334	1.9467e-002
1335	1.943e-002
1336	1.8931e-002
1337	1.8886e-002
1338	1.7818e-002
1339	1.7757e-002
1340	1.6796e-002
1341	1.5727e-002
1342	1.5307e-002
1343	1.3803e-002
1344	1.3607e-002
1345	1.3429e-002
1346	1.2834e-002
1347	1.1978e-002
1348	1.1965e-002
1349	1.1945e-002
1350	1.1633e-002
1351	1.1372e-002
1352	1.113e-002
1353	1.0848e-002
1354	1.0895e-002
1355	1.0604e-002
1356	1.0526e-002
1357	1.0282e-002
1358	1.0269e-002
1359	1.0127e-002
1360	1.0122e-002
1361	1.0181e-002
1362	1.0147e-002
1363	1.0225e-002
1364	1.0182e-002
1365	1.032e-002
1366	1.0389e-002
1367	1.0467e-002
1368	1.0579e-002
1369	1.0631e-002
