Node Number	LOC_DEFY (m)
989	9.556e-005
990	9.5195e-005
991	9.5866e-005
992	9.548e-005
993	9.5911e-005
994	9.5217e-005
995	9.4881e-005
996	9.4143e-005
997	9.3173e-005
998	9.3813e-005
999	9.2965e-005
1000	9.4762e-005
1001	9.2219e-004
1002	1.7295e-004
1003	9.7748e-004
1004	8.4375e-004
1005	9.8269e-005
1006	3.0341e-004
1007	1.2479e-004
1008	3.56e-004
1009	8.8142e-004
1010	5.1481e-004
1011	1.914e-004
1012	3.2422e-004
1013	2.5436e-004
1014	7.7325e-004
1015	8.9088e-004
1016	1.1937e-004
1017	3.7347e-004
1018	6.6407e-004
1019	3.8594e-004
1020	2.3547e-004
1021	7.0257e-004
1022	5.6211e-003
1023	3.008e-003
1024	7.733e-006
1025	1.6951e-003
1026	-1.e-006
1027	2.4408e-003
1028	4.2963e-003
1029	2.6612e-003
1030	1.9431e-006
1031	-1.e-006
1032	-1.e-006
1033	2.865e-003
1034	1.5953e-003
1035	5.5822e-004
1036	3.0221e-003
1037	3.1228e-005
1038	2.6969e-003
1039	8.7008e-004
1040	2.203e-004
1041	1.5436e-004
1042	1.1781e-004
1043	1.4519e-004
1044	6.3158e-005
1045	5.6499e-005
1046	2.0344e-005
1047	-9.9694e-007
1048	1.0097e-005
1049	6.9119e-005
1050	4.0593e-005
1051	6.2393e-005
1052	4.9882e-005
1053	6.7501e-005
1054	1.6702e-004
1055	1.4769e-004
1056	1.4606e-004
1057	5.6071e-005
1058	1.0689e-004
1059	8.5079e-005
1060	1.2786e-004
1061	3.2869e-005
1062	1.3345e-004
1063	1.1784e-004
1064	1.2369e-004
1065	1.4235e-004
1066	1.1026e-004
1067	1.3959e-004
1068	5.0994e-005
1069	8.3271e-005
1070	7.2742e-005
1071	8.2959e-005
1072	7.4982e-005
1073	8.1163e-005
1074	8.5522e-005
1075	8.9956e-005
1076	9.2089e-005
1077	9.3382e-005
1078	9.3728e-005
1079	9.4385e-005
1080	9.4193e-005
1081	9.4618e-005
1082	9.4173e-005
1083	9.458e-005
1084	9.403e-005
1085	9.4556e-005
1086	9.3828e-005
1087	9.4409e-005
1088	9.3877e-005
1089	9.4614e-005
1090	9.4261e-005
1091	9.5106e-005
1092	9.4756e-005
1093	9.5447e-005
1094	9.4957e-005
1095	9.492e-005
1096	9.4217e-005
1097	9.3407e-005
1098	9.3084e-005
1099	9.2248e-005
1100	9.1232e-005
1101	1.5019e-003
1102	3.6672e-004
1103	7.1362e-004
1104	9.3076e-004
1105	1.1856e-003
1106	1.0775e-003
1107	1.2322e-003
1108	7.3603e-004
1109	1.0646e-003
